default,contact,duration,campaign,pdays,previous,poutcome,y
0,2,261,1,999,0,3,0
2,2,149,1,999,0,3,0
0,2,226,1,999,0,3,0
0,2,151,1,999,0,3,0
0,2,307,1,999,0,3,0
2,2,198,1,999,0,3,0
0,2,139,1,999,0,3,0
2,2,217,1,999,0,3,0
0,2,380,1,999,0,3,0
0,2,50,1,999,0,3,0
2,2,55,1,999,0,3,0
0,2,222,1,999,0,3,0
0,2,137,1,999,0,3,0
0,2,293,1,999,0,3,0
0,2,146,1,999,0,3,0
2,2,174,1,999,0,3,0
0,2,312,1,999,0,3,0
2,2,440,1,999,0,3,0
0,2,353,1,999,0,3,0
2,2,195,1,999,0,3,0
0,2,38,1,999,0,3,0
2,2,262,1,999,0,3,0
0,2,342,1,999,0,3,0
0,2,181,1,999,0,3,0
0,2,172,1,999,0,3,0
0,2,99,1,999,0,3,0
0,2,93,1,999,0,3,0
2,2,233,1,999,0,3,0
2,2,255,2,999,0,3,0
2,2,362,1,999,0,3,0
0,2,348,1,999,0,3,0
0,2,386,1,999,0,3,0
0,2,73,1,999,0,3,0
2,2,230,1,999,0,3,0
0,2,208,1,999,0,3,0
2,2,336,1,999,0,3,0
0,2,365,1,999,0,3,0
0,2,1666,1,999,0,3,0
0,2,577,1,999,0,3,0
0,2,137,1,999,0,3,0
0,2,366,1,999,0,3,0
0,2,314,1,999,0,3,0
0,2,160,1,999,0,3,0
0,2,212,1,999,0,3,0
2,2,188,1,999,0,3,0
2,2,22,1,999,0,3,0
0,2,616,1,999,0,3,0
0,2,178,1,999,0,3,0
0,2,355,1,999,0,3,0
0,2,225,2,999,0,3,0
0,2,160,1,999,0,3,0
0,2,266,1,999,0,3,0
0,2,253,1,999,0,3,0
0,2,179,1,999,0,3,0
2,2,269,2,999,0,3,0
2,2,135,1,999,0,3,0
2,2,161,1,999,0,3,0
2,2,787,1,999,0,3,0
2,2,145,1,999,0,3,0
0,2,174,1,999,0,3,0
2,2,449,1,999,0,3,0
0,2,812,1,999,0,3,0
2,2,164,1,999,0,3,0
2,2,366,1,999,0,3,0
0,2,357,1,999,0,3,0
0,2,232,1,999,0,3,0
0,2,91,1,999,0,3,0
0,2,273,1,999,0,3,0
0,2,158,2,999,0,3,0
2,2,177,1,999,0,3,0
0,2,200,1,999,0,3,0
0,2,172,1,999,0,3,0
2,2,176,1,999,0,3,0
2,2,211,1,999,0,3,0
2,2,214,1,999,0,3,0
2,2,1575,1,999,0,3,1
0,2,349,1,999,0,3,0
2,2,337,2,999,0,3,0
2,2,272,1,999,0,3,0
2,2,208,1,999,0,3,0
2,2,193,1,999,0,3,0
2,2,212,1,999,0,3,0
2,2,165,2,999,0,3,0
2,2,1042,1,999,0,3,1
0,2,20,1,999,0,3,0
0,2,246,1,999,0,3,0
0,2,529,2,999,0,3,0
0,2,192,1,999,0,3,0
0,2,1467,1,999,0,3,1
0,2,188,2,999,0,3,0
0,2,180,2,999,0,3,0
2,2,48,1,999,0,3,0
2,2,213,2,999,0,3,0
0,2,545,1,999,0,3,0
0,2,583,1,999,0,3,0
